종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"479850","HANARO K-뷰티","16705","-440","-2.57","16673.39","17025","17025","16515","235922","3929104157","33410000000","0","2000000","FnGuide K-뷰티 지수","657.61","-17.29","-2.56"
"346000","HANARO KAP초장기국고채","40880","180","0.44","40830.11","40775","40880","40775","196","7998875","4415040000","0","108000","KAP 초장기 국고채 지수(총수익)","14086.35","73.03","0.52"
"453060","HANARO KOFR금리액티브(합성)","108245","15","0.01","108245.36","108245","108245","108245","20","2164900","11906950000","0","110000","KOFR 지수","1163.32","0.07","0.01"
"304760","HANARO KRX300","19960","125","0.63","19910.64","19975","19990","19805","52","1034935","7984000000","0","400000","KRX 300","1974.97","-0.77","-0.04"
"332940","HANARO MSCI Korea TR","17975","115","0.64","17927.15","18045","18045","17835","420","7540085","43140000000","0","2400000","MSCI Korea TR Index","1811.34","-0.73","-0.04"
"322400","HANARO e커머스","12470","-130","-1.03","12441.13","12610","12610","12355","17168","213085724","56738500000","0","4550000","FnGuide E커머스 지수","2134.18","-22.24","-1.03"
"322410","HANARO 고배당","17840","-195","-1.08","17800.48","18075","18075","17690","43778","782150055","17840000000","0","1000000","FnGuide 고배당 알파 지수","2636.56","-28.27","-1.06"
"473640","HANARO 글로벌금채굴기업","18305","70","0.38","18391.39","18280","18305","18210","4888","89261928","10067750000","0","550000","NYSE Arca Gold Miners Index (Price Return)","348.24","0.00","0.00"
"354350","HANARO 글로벌럭셔리S&P(합성)","20340","40","0.20","20409.19","20500","20500","19930","3546","71909222","17695800000","0","870000","S&P Global Luxury Index","4468.16","15.47","0.35"
"464060","HANARO 글로벌반도체TOP10 SOLACTIVE","19530","5","0.03","19656.67","19540","19665","19530","28486","557453520","7812000000","0","400000","Solactive Semiconductor Top 10 Index PR","7072.04","-62.03","-0.87"
"461340","HANARO 글로벌생성형AI액티브","23605","400","1.72","23534.58","23365","23680","23365","25809","607155824","34227250000","0","1450000","Solactive United States Technology 100 Index(Price Return)","14304.26","8.90","0.06"
"424460","HANARO 글로벌워터MSCI(합성)","15065","175","1.18","15026.35","15000","15065","14880","8007","120522885","9039000000","0","600000","MSCI ACWI IMI Water ESG Filtered (Price Return)","2430.30","14.37","0.59"
"401590","HANARO 글로벌탄소배출권선물ICE(합성)","9960","-10","-0.10","9984.51","10035","10035","9910","3368","33515400","5478000000","0","550000","ICE Global Carbon Futures Index(Excess Return)","581.20","-5.71","-0.97"
"0040S0","HANARO 글로벌피지컬AI액티브","12935","160","1.25","12914.00","12675","12945","12675","182971","2360758631","22636250000","0","1750000","Solactive Physical AI Index","15143.94","76.89","0.51"
"314700","HANARO 농업융복합산업","10450","20","0.19","10494.59","10525","10525","10405","896","9369870","5747500000","0","550000","FnGuide 농업융복합산업 지수(시장가격)","1299.54","5.45","0.42"
"486830","HANARO 머니마켓액티브","51775","5","0.01","51778.16","51770","51780","51770","2746","142175475","76523450000","0","1478000","KIS-NH Amundi MMF지수","116.32","0.03","0.03"
"432840","HANARO 미국S&P500","16435","120","0.74","16390.94","16375","16460","16360","1956","32102635","11504500000","0","700000","S&P 500","6296.79","-0.57","-0.01"
"498050","HANARO 바이오코리아액티브","12760","175","1.39","12752.13","12845","12940","12600","28697","365291675","8932000000","0","700000","iSelect K-바이오헬스케어","1289.49","1.58","0.12"
"476260","HANARO 반도체핵심공정주도주","6415","-90","-1.38","6398.42","6505","6505","6380","10079","64570990","4490500000","0","700000","FnGuide 반도체 핵심공정 지수","872.77","-12.24","-1.38"
